,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,61.0
246,61.0
247,61.0
248,61.0
249,61.0
250,61.0
251,61.0
252,66.0
253,66.0
254,66.0
255,66.0
256,66.0
257,66.0
258,66.0
259,66.0
260,66.0
261,66.0
262,66.0
263,66.0
264,66.0
265,66.0
266,66.0
267,66.0
268,64.0
269,64.0
270,64.0
271,64.0
272,64.0
273,64.0
274,64.0
275,64.0
276,64.0
277,64.0
278,64.0
279,64.0
280,64.0
281,64.0
282,64.0
283,64.0
284,66.0
285,66.0
286,66.0
287,66.0
288,66.0
289,66.0
290,66.0
291,66.0
292,66.0
293,66.0
294,66.0
295,66.0
296,66.0
297,66.0
298,66.0
299,66.0
300,68.0
301,68.0
302,68.0
303,68.0
304,68.0
305,68.0
306,68.0
307,68.0
308,68.0
309,68.0
310,68.0
311,68.0
312,68.0
313,68.0
314,68.0
315,68.0
316,61.0
317,61.0
318,61.0
319,61.0
320,61.0
321,61.0
322,61.0
323,61.0
324,61.0
325,61.0
326,61.0
327,61.0
328,61.0
329,61.0
330,63.0
331,64.0
332,64.0
333,64.0
334,64.0
335,64.0
336,64.0
337,64.0
338,64.0
339,64.0
340,64.0
341,64.0
342,64.0
343,64.0
344,66.0
345,66.0
346,66.0
347,66.0
348,59.0
349,59.0
350,59.0
351,59.0
352,59.0
353,59.0
354,59.0
355,59.0
356,59.0
357,59.0
358,59.0
359,58.0
360,58.0
361,58.0
362,58.0
363,59.0
364,59.0
365,59.0
366,59.0
367,59.0
368,59.0
369,59.0
370,59.0
371,59.0
372,59.0
373,66.0
374,66.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,61.0
381,64.0
382,64.0
383,64.0
384,64.0
385,64.0
386,64.0
387,64.0
388,64.0
389,64.0
390,64.0
391,64.0
392,64.0
393,64.0
394,64.0
395,64.0
396,64.0
397,64.0
398,64.0
399,64.0
400,64.0
401,64.0
402,61.0
403,61.0
404,61.0
405,61.0
406,63.0
407,63.0
408,63.0
409,63.0
410,63.0
411,64.0
412,64.0
413,64.0
414,64.0
415,64.0
416,62.0
417,62.0
418,62.0
419,62.0
420,61.0
421,61.0
422,61.0
423,61.0
424,61.0
425,61.0
426,59.0
427,59.0
428,59.0
429,59.0
430,59.0
431,58.0
432,58.0
433,58.0
434,58.0
435,58.0
436,58.0
437,58.0
438,58.0
439,59.0
440,59.0
441,61.0
442,61.0
443,61.0
444,61.0
445,59.0
446,59.0
447,59.0
448,59.0
449,59.0
450,59.0
451,59.0
452,59.0
453,59.0
454,59.0
455,61.0
456,61.0
457,61.0
458,62.0
459,64.0
460,64.0
461,64.0
462,64.0
463,64.0
464,64.0
465,64.0
466,64.0
467,64.0
468,64.0
469,64.0
470,64.0
471,64.0
472,64.0
473,64.0
474,64.0
475,64.0
476,64.0
477,64.0
478,64.0
479,64.0
480,62.0
481,62.0
482,61.0
483,62.0
484,62.0
485,62.0
486,62.0
487,62.0
488,62.0
489,62.0
490,62.0
491,62.0
492,61.0
493,61.0
494,61.0
495,61.0
496,61.0
497,61.0
498,65.0
499,66.0
500,66.0
501,66.0
502,66.0
503,66.0
504,66.0
505,66.0
506,66.0
507,66.0
508,66.0
509,66.0
510,66.0
511,66.0
512,68.0
513,66.0
514,66.0
515,66.0
516,65.0
517,65.0
518,65.0
519,65.0
520,65.0
521,65.0
522,65.0
523,65.0
524,66.0
525,66.0
526,66.0
527,66.0
528,64.0
529,64.0
530,64.0
531,64.0
532,64.0
533,64.0
534,64.0
535,64.0
536,64.0
537,64.0
538,63.0
539,65.0
540,65.0
541,65.0
542,65.0
543,65.0
544,65.0
545,65.0
546,65.0
547,65.0
548,66.0
549,66.0
550,66.0
551,66.0
552,66.0
553,66.0
554,66.0
555,66.0
556,66.0
557,66.0
558,66.0
559,66.0
560,66.0
561,66.0
562,66.0
563,66.0
564,65.0
565,65.0
566,65.0
567,65.0
568,65.0
569,65.0
570,65.0
571,65.0
